Timestamp,Tweet Content,sentiment
2025-05-05T23:34:01.000Z,First time in an Apple Store in years… never again.,neutral
2025-05-05T23:36:54.000Z,"Trump set to tag a 100% tariff on all films made overseas claiming other nations have 'stolen from the US movie industry.' The move would also affect US productions filmed on location overseas.
#tradewar #tariffs #trump #movies",negative
2025-05-05T23:32:54.000Z,"FOR THE RECORD

I have not purchased anything that had a price increase because of a tariff.  None.
I have however enjoyed lower prices at every turn.",positive
2025-05-05T23:54:11.000Z,"Shouldn’t this be a bigger story?!? Senator 
@MarkWarner
 calls for probe into report WH is pressuring countries like Bangladesh to use Elon Musk’s Starlink in exchange for tariff relief. Watch: https://open.substack.com/pub/jimacosta/p/sen-mark-warner-michael-cohen-and?r=lpd3z&utm_medium=ios…",positive
2025-05-05T23:10:58.000Z,"China caves and eliminates many large tariffs!  MAGA!

One is a large tariff lifted on ethane!  And some companies are coming to the US to manufacture goods due to high tariffs.  They will employ hundreds if not thousands of Americans!  WINNING!",positive
2025-05-05T23:32:27.000Z,basically the 100% movie tariff,neutral
2025-05-05T23:40:55.000Z,Hopefully anime don’t get hit with a tariff ,positive
2025-05-05T23:37:00.000Z,"TARIFF DERANGEMENT SYNDROME; WHY THE U.S. NEEDS TO CONTROL GOVERNMENT SPENDING

#ICYMI, Anthony Esposito joins me to discuss recent and past GDP reports to offer analysis on why the U.S. needs to keep government spending at bay. 

#LinkInBio #AmericasVoiceNews #RAV",neutral
2025-05-05T23:50:50.000Z,"Trump slaps 100% tariff on foreign films.
:https://youtu.be/h0Ob5D_r7Yc?si=zALrbAt25WA6Pi37…
Calling overseas productions a national security threat, Donald Trump has ordered sweeping tariffs to protect Hollywood.

#Trump #Hollywood #FilmTariff #USCinema #DDInida",positive
2025-05-05T23:12:12.000Z,"1. $RCR Q1 div up 5.7% y/y 
2. $WLCON Q1 profit: P536-M (down 28%)
3. UPDATE: WTF is happening now? 
 - Trump announces 100% tariff on... movies?
 - UP: Gold, peso
 - DOWN: Dow, BTC, USD

Read on: http://bit.ly/44v0iHf
Sign up link in profile

#MerkadoBarkada",negative
2025-05-05T23:19:23.000Z,$F tariff impact on EBIT only $1.5B vs prior FY estimate of $7-8.5B EBIT and $185B in 2024 revenue. $2.5B gross cost of tariffs. I’m interested to hear more context on these numbers but somewhat underwhelmed by the modest impact.,negative
2025-05-05T23:10:57.000Z,"Mattel to hike prices on Barbie, Hot Wheels, other toys to offset Trump tariff costs https://trib.al/sB0L7iF",neutral
2025-05-05T23:22:28.000Z,Hollywood is not dying because of foreign films. It is dying because the world stopped believing in America's stories. Here's why Trump's 100 percent tariff is a desperate joke.,negative
2025-05-05T23:14:05.000Z,"'We could be in for an American James Bond...'

Comedians 
@TheSimonEvans
, 
@AideenMcqueen
 and 
@JoshxHowie
 react as Donald Trump threatens the UK with a 100 percent tariff on the film and television industry.",negative
2025-05-05T23:00:09.000Z,President Trump said he will meet with some film industry officials about his plan for a 100% tariff on all movies produced outside of the U.S.,neutral
2025-05-05T23:57:42.000Z,Trump’s tariff on foreign films: An authoritarian attack on culture and the working class https://wsws.org/en/articles/2025/05/05/eare-m05.html… #art #culture #cinema #attackonculture #fascism #tariffs,negative
2025-05-05T23:41:22.000Z,"Ontario is a pillar of Canada’s economy — and with renewed tariff threats from President Trump, getting shovels in the ground on key highway and transit project’s is more important than ever.  

Premier 
@fordnation
's message to PM 
@MarkJCarney
is clear: stand united, protect",positive
2025-05-05T23:24:49.000Z,"Slap a 1,000% tariff on this fungal snooze-fest.",positive
2025-05-05T23:24:20.000Z,TARIFF TEMPERING DEMOCRATS! The ‘Tariffs don’t work’ alarmists owe President Trump a huge apology. Tariff revenue just smashed records. $15.9 Billion collected so far this month alone.,negative
2025-05-05T23:08:58.000Z," Breaking: Ford suspends 2025 guidance amid $2.5 billion tariff impact

Ford Motor beat Q1 expectations but suspended its 2025 guidance due to a $2.5B impact from Trump’s tariffs, expecting to offset $1B through cost adjustments. Their share price is dropping by 2% in",negative
2025-05-05T23:42:06.000Z,Waiting vigilantly by the phone for the uptick in auditions now that there is a 100% tariff on Godzilla movies.,neutral
2025-05-05T23:53:24.000Z,She knows who pays the tariff.,neutral
2025-05-05T23:30:44.000Z,"I mean, when I go to the movies, they always tariff half the ticket and give it back to me.",neutral
2025-05-05T23:38:16.000Z,"Trump’s tariff taxes are devastating our small businesses.

Sen. Smith and I joined Beth Benike, owner of Busy Baby and Minnesota Small Business Person of the Year, along with business owners from across the country to call on President Trump to end the trade chaos.",negative
2025-05-05T23:42:09.000Z,Trump Announces 100% Tariff On Movies Produced Outside US,neutral
2025-05-05T23:05:07.000Z,".
@StewartPrest
 just a fun talking point if you are asked to go on TV. President Trumps authority to place emergency tariffs specifically excludes films, books etc....",positive
2025-05-05T23:16:34.000Z,"He's like a toddler who just discovered a new word so keeps shouting it at everyone. ""Tariff! Tariff! Tariff!""",positive
2025-05-05T23:54:12.000Z,Technically aren’t all Hollywood productions still a product of the USA even if they’re filmed in other countries? Like how do you even tariff a movie? God Trump is so fucking stupid man.,negative
2025-05-05T23:48:42.000Z,"Me: Mom they just cut funding for PBS. 

My mom: That’s not what they’re doing. Also Elmo is Muslim.",negative
2025-05-05T23:56:24.000Z,"KUALA LUMPUR, May 6 — The United States has expressed concern over the protection of its sensitive technology during ongoing tariff negotiations with Malaysia, revealed Investment, Trade and Industry Minister Datuk Seri Tengku Zafrul Abdul Aziz today.

https://pocketnews.com.my/2025/05/06/us-seeks-tech-safeguards-in-tariff-talks-with-malaysia-says-tengku-zafrul/…",positive
2025-05-05T23:19:19.000Z,"AMPIA Update on President Trump's Proposed Film Tariffs
 
On May 4, 2025, U.S. President Donald Trump announced his intent to impose a 100% tariff on films and series produced outside the United States, citing foreign incentives and national security risks.

While no formal",positive
2025-05-05T23:22:45.000Z,"Next time, don't appeal to Tariff Man.",neutral
2025-05-05T23:14:29.000Z,"Ford has suspended the tradition of its full-year financial guidance due to a total 2.5 billion dollar tariff impact, 1 billion of which they will try to offset by finding ways to avoid the tariffs.",negative
2025-05-05T23:46:07.000Z,just did some doomsday prep (ordered 2 criterion blu rays after film tariff threat),negative
2025-05-05T23:14:54.000Z,"China Observer
693K subscribers

EU Strikes Hard, 67% Tariff on Chinese Goods, RMB Hits 10-Year Low Against Euro https://youtu.be/Lkq4MOlP-O0?si=znF6-0szbLMMvMrd… via 
@YouTube",negative
2025-05-05T23:57:59.000Z,She was physically thrown out of the town hall meeting,neutral
2025-05-05T23:19:25.000Z,"It's so funny to watch all these celebrities queue up and circle around each other to pose for a ridiculous amount of cameras. 

Don't mind the war in Gaza, the catastrophe in Ukraine or the Tariff Cease Pause.  Just Pose  #HungerGames  #MetGala2025 #Meta",negative
2025-05-05T23:31:01.000Z,There should always be a minimum tariff to access the us market. 10% minimum.,neutral
2025-05-05T23:03:34.000Z,What’s next a tariff on Zayne?,neutral
2025-05-05T23:03:41.000Z,I say tariff the Canadian Geese that come across the border!,neutral
2025-05-05T23:30:07.000Z,Temu halts China shipments to U.S. as de minimis tariff exemption ends,neutral
2025-05-05T22:48:46.000Z,"Trump Says Foreign Movies Are “Propaganda,” Orders 100 Percent Tariff https://truthout.org/articles/trump-says-foreign-movies-are-propaganda-orders-100-percent-tariff/?utm_campaign=Truthout+Share+Buttons… via 
@truthout",neutral
2025-05-05T23:56:02.000Z,"Made In the USA Roars Back, American Manufacturers 'Swamped' As Tariffs Hit China.

American Manufacturers Overwhelmed with Orders After President Trump’s Tariff Crackdown on China https://dailycaller.com/2025/05/05/american-business-returns-trump-tariffs-china/… via 
@dailycaller",positive
