date,num_tweets,avg_length,avg_num_words,avg_hashtags,avg_mentions,avg_uppercase_ratio,prop_negative,prop_neutral,prop_positive,vader_avg_compound,vader_std_compound,vader_max_compound,vader_min_compound,avg_sentiment_score,day_of_week,is_weekend
2025-03-01,57,186.80701754385964,27.80701754385965,0.5263157894736842,0.1578947368421052,0.0616445698130733,0.6140350877192983,0.1578947368421052,0.2280701754385964,-0.2001,0.484144672519043,0.9309,-0.8519,0.6140350877192983,5,1
2025-03-02,150,183.98666666666668,27.406666666666663,0.3866666666666666,0.1533333333333333,0.0725486874585916,0.5466666666666666,0.1733333333333333,0.28,-0.1902726666666666,0.4450280182562774,0.8122,-0.93,0.7333333333333333,6,1
2025-03-03,205,163.81951219512194,25.6,0.1658536585365853,0.1121951219512195,0.0673580980548938,0.4780487804878048,0.2341463414634146,0.2878048780487804,-0.1179375609756097,0.4298471699495413,0.8625,-0.9201,0.8097560975609757,0,0
2025-03-04,215,178.24651162790698,27.26511627906977,0.3441860465116279,0.1627906976744186,0.0663374267827232,0.4604651162790698,0.1674418604651162,0.3720930232558139,-0.0318711627906976,0.5346634059566844,0.9081,-0.9622,0.9116279069767442,1,0
2025-03-05,216,172.27314814814815,26.62962962962963,0.4351851851851852,0.2361111111111111,0.0617581286244736,0.3935185185185185,0.324074074074074,0.2824074074074074,-0.1072402777777777,0.4734921479154611,0.8834,-0.959,0.8888888888888888,2,0
2025-03-06,196,171.96938775510205,26.683673469387756,0.4591836734693877,0.1530612244897959,0.0513062400751861,0.5459183673469388,0.1581632653061224,0.2959183673469387,-0.1621270408163265,0.4811463648875793,0.9167,-0.9713,0.75,3,0
2025-03-07,207,198.79227053140096,31.42512077294686,0.2560386473429952,0.2028985507246377,0.0502860944064543,0.5072463768115942,0.1932367149758454,0.2995169082125604,-0.1326826086956521,0.5243905581368381,0.8519,-0.9666,0.7922705314009661,4,0
2025-03-08,84,178.61904761904762,30.27380952380953,0.4166666666666667,0.119047619047619,0.0748980370780315,0.5833333333333334,0.0833333333333333,0.3333333333333333,-0.1822392857142857,0.5531453718634383,0.8573,-0.9664,0.75,5,1
2025-03-09,177,190.70621468926555,30.141242937853107,0.4632768361581921,0.1638418079096045,0.061725365899177,0.536723163841808,0.1129943502824858,0.3502824858757062,-0.093657627118644,0.5174883282181973,0.9199,-0.9518,0.8135593220338984,6,1
2025-03-10,202,184.63366336633663,29.89108910891089,0.3217821782178218,0.2029702970297029,0.0648790572809321,0.5693069306930693,0.198019801980198,0.2326732673267326,-0.2054742574257426,0.481008657290853,0.9118,-0.979,0.6633663366336634,0,0
2025-03-11,160,171.54375,26.83125,0.43125,0.19375,0.0571023077608238,0.49375,0.1875,0.31875,-0.120038125,0.5213170804305798,0.8555,-0.9353,0.825,1,0
2025-03-12,50,174.84,27.38,0.12,0.14,0.0585766606379652,0.56,0.14,0.3,-0.209718,0.4315543320442079,0.471,-0.8753,0.74,2,0
2025-03-13,172,170.59302325581396,25.877906976744185,0.2790697674418604,0.127906976744186,0.0705246030286607,0.6453488372093024,0.127906976744186,0.2267441860465116,-0.229735465116279,0.4754397426087024,0.875,-0.9622,0.5813953488372093,3,0
2025-03-14,190,192.77894736842103,30.03157894736842,0.3,0.1684210526315789,0.0672042441938444,0.6052631578947368,0.1947368421052631,0.2,-0.2158463157894736,0.4830465738958225,0.7717,-0.959,0.5947368421052631,4,0
2025-03-15,173,187.8612716763006,28.23699421965318,0.3468208092485549,0.0809248554913294,0.0593750147542225,0.5549132947976878,0.1271676300578034,0.3179190751445087,-0.1307184971098265,0.5118554868547465,0.8958,-0.9485,0.7630057803468208,5,1
2025-03-16,157,200.52229299363057,29.044585987261147,0.3630573248407643,0.3057324840764331,0.0606907910665256,0.5222929936305732,0.1464968152866242,0.3312101910828025,-0.10808025477707,0.512361123327454,0.886,-0.9284,0.8089171974522293,6,1
2025-03-17,187,189.40106951871655,28.299465240641712,0.6577540106951871,0.3101604278074866,0.0552790265819125,0.481283422459893,0.1657754010695187,0.3529411764705882,-0.0612732620320855,0.4854261688560575,0.9022,-0.9325,0.8716577540106952,0,0
2025-03-18,115,186.91304347826087,29.034782608695657,0.6,0.1565217391304348,0.0562810892569582,0.6086956521739131,0.1391304347826087,0.2521739130434782,-0.1745069565217391,0.4632459510662262,0.8271,-0.9445,0.6434782608695652,1,0
2025-03-19,56,203.28571428571428,31.160714285714285,0.4107142857142857,0.25,0.0602182989172832,0.4821428571428571,0.2142857142857142,0.3035714285714285,-0.1493553571428571,0.4918044108344635,0.8286,-0.9022,0.8214285714285714,2,0
2025-03-20,76,234.8947368421053,34.73684210526316,0.8289473684210527,0.25,0.0579295464786314,0.3947368421052631,0.2105263157894736,0.3947368421052631,-0.0017684210526315,0.5425379156545715,0.9153,-0.9231,1.0,3,0
2025-03-21,201,176.90547263681592,27.308457711442784,0.2189054726368159,0.1592039800995024,0.0700624930222107,0.4328358208955223,0.1791044776119403,0.3880597014925373,-0.0248323383084577,0.4598576468854302,0.8719,-0.9333,0.9552238805970148,4,0
2025-03-22,212,185.5235849056604,28.36320754716981,0.4056603773584906,0.2216981132075471,0.0711986281325527,0.4669811320754717,0.2264150943396226,0.3066037735849056,-0.1080146226415094,0.4903079167191646,0.9633,-0.9841,0.839622641509434,5,1
2025-03-23,203,174.85221674876848,27.876847290640395,0.3103448275862069,0.1773399014778325,0.0814296306675494,0.2758620689655172,0.2512315270935961,0.4729064039408867,0.0710123152709359,0.469489833709415,0.9635,-0.9356,1.1970443349753694,6,1
