Timestamp,Tweet Content
2018-07-02T19:47:03.000Z,"Car prices would soar under Trump's latest tariff plan https://yhoo.it/2KCWSWW by 
@rickjnewman"
2018-07-02T20:59:08.000Z,These are the places most vulnerable to U.S. tariffs https://ift.tt/2KANjLy
2018-07-02T19:50:00.000Z,"Trump's new tariffs just happen to protect certain industries that are big political donors. | William Poole

https://mises.org/wire/new-tariff-abominations…"
2018-07-02T20:25:00.000Z,"EU and China tariff escalation could spell another major selloff, but we're not worried. Recent Tradespoon performance during selloff periods is averaging over 85% winning trades! See our featured trade this week in our Market Commentary Below:

http://ow.ly/hu8n50hSpwz"
2018-07-02T22:00:14.000Z,"India Charges 100 Percent Tariff: Trump
https://siliconeer.com/current/india-charges-100-percent-tariff-trump/…
#Siliconeer #Community #DonaldTrump #Tariff #US#India#Relations #international#trade #LalitKJha"
2018-07-02T19:35:04.000Z,"US Chamber of Congress slams Trump’s tariff plan http://inb.li/bBq9L via 
@nypost
 #business #trump #congress"
2018-07-02T18:29:04.000Z,"US allies are upset with Trump after he imposed a 25 percent tariff on imported steel and 10 percent on aluminum. 
@BenKennedyTV
 reporting: http://fw.to/YwEV0JG"
2018-07-02T21:07:21.000Z,"Car prices would soar under Trump&#39;s latest tariff plan | Trump seems to be getting closer to imposing new tariffs on imported cars, a move that would roil the auto industry.

 | http://rocketnews.com/2018/07/car-prices-would-soar-under-trumps-latest-tariff-plan/…"
2018-07-02T20:58:41.000Z,EU: Trump risks $294bn trade tariff reprisals http://dlvr.it/QZFnyY
2018-07-02T23:01:59.000Z,"""... new trade bill for the United States (USA)...needed a name. Of all the configurations available, the POTUS chose United States Fair and Reciprocal Tariff Act.
US FaRT Act"" "
2018-07-02T23:57:16.000Z,"If we were to Remain in the EU’s Common External Tariff, then what would the point be of leaving the Customs Union? A preposterous suggestion, & given the PM’s failure to rule it out, a warning light for all those committed to a real Brexit."
2018-07-02T22:12:02.000Z,"From our own 
@tkleckner1
 — 
@FERC
 last week ordered settlement judge procedures over @WestarEnergy's proposed tariff revisions increasing its transmission and distribution loss factors. https://buff.ly/2KFGFn0"
2018-07-02T18:04:52.000Z,"Trump China Tariff Decision Will Be Yuuuge For Stocks, trump is paid for by big money { STOCK} the KOCH BRO'S WOULD DISOWN trumputin IF HE FOLLOWED THROUGH! A dime will get you a million  $$$ trump has NO BALLS TO STAND UP TO CHINA! I double dog dare you!

http://flip.it/OeA3wA"
2018-07-02T20:37:07.000Z,"U.S. trade disputes have farmers worried, with profits on key exports like pork and soybeans threatened. 
@jessenewman13
 joins 
@annmariefertoli
 with more.

Listen : https://apple.co/2tMBUP2"
2018-07-02T21:46:02.000Z,"Harley, Trump and trade: Tariff fights bring uncertainty 
http://bit.ly/2KD3CUX
#cdnpoli 
@twitter
 @cnn
 @nasa
 Guardian CBC
#bcpoli #abpoli #onpoli #qcpoli #skpoli #nbpoli #nspoli US UK EU"
2018-07-02T21:43:35.000Z,Dutch PM Interrupts Trump Tariff Lies With Resounding “NO!” – Donald Scrambles (VIDEO) http://bipartisan.report/2018/07/02/dutch-pm-interrupts-trump-tariff-lies-with-resounding-no-donald-scrambles-video/…
2018-07-02T23:00:05.000Z,Why A U.S. Auto Import Tariff Should Concern Automakers and Workers https://bit.ly/2KfAK91
2018-07-02T21:25:06.000Z,Even big business is begging Trump to stop killing US jobs https://shareblue.com/chamber-of-commerce-trump-tariff-campaign-killing-us-jobs/…
2018-07-02T22:29:05.000Z,He must have inadvertently put a tariff on whatever hair product he uses. #tytlive
2018-07-02T22:03:59.000Z,"As the Trump Admin. wades through thousands of applications for tariff exemptions from manufacturers, it may soon also try to devise a profit-support system for farmers hurt by retaliatory tariffs. Common theme: more dependence on, and power to, Trump.  https://ageconomists.com/2018/07/02/trade-disputes-heat-up-usda-to-the-rescue/…"
2018-07-02T21:46:33.000Z,"Best counter tariff against #Trump and #USA was bringing 
@91Tavares
 home to #Toronto on #CanadaDay. Wheat? Steel? #TML will bring #StanleyCup back next. 
@Sportsnet"
2018-07-02T20:24:56.000Z,Canadian tariffs wallop Illinois companies — and farmers https://trib.in/2NgxKqK
2018-07-02T20:30:42.000Z,"The bill FART would allow Trump to abandon the World Trade Organization’s tariff rules, granting him new authority to unilaterally change tariff agreements with certain countries, according to a leaked copy of the bill published by Axios. https://news.vice.com/en_us/article/evkyyw/trump-hopes-fart-will-get-congresss-attention…"
2018-07-02T19:39:39.000Z,"The acronym is ‘FART’  & Signals @DonldTrump’s Intention to disrupt World Trade.
@Heightllc
's James Wise, a http://GisermanGroup.com client analyses the 'Fair And Reciprocal Tariff' act for 
@Bloomberg
 Radio https://lnkd.in/dBkc2Bp https://lnkd.in/dpTX7mi"
2018-07-02T19:21:03.000Z,"All new cars sold in the United States will cost more — to build and probably to buy — if the Trump administration imposes an auto tariff, because every car sold in America is at least partly imported https://cnn.it/2MExP6q"
2018-07-02T17:34:24.000Z,"Shit on your trading partner. Tariff on bourbon 
@BreitBartNews
 #IShopCanada 
@UniforCanada
 

https://shelterpoint.ca"
2018-07-02T23:15:22.000Z,"#Funny.

#Trump's new #trade bill. Wanna guess what the Trump admin
brain trust named it?

The Fair and Recipricol Tariff Act - or using the acronym, #FART

Aptly named b/c I'm sure it stinks 

They're useless at running gov, but at least they're good for laughs
#resist"
