Timestamp,Tweet Content
2025-03-08T23:36:41.000Z,"So Canada can charge us Tariffs for years
But we charge them a Tariff and were no longer Friends?"
2025-03-08T23:54:48.000Z,This is the dumbest tariff war in history.
2025-03-08T23:06:26.000Z,"FAFO : In a post on Truth Social yesterday morning, you’ll recall, President Trump said he believed Justin Trudeau was using the tariff problem to run again for prime minister.

Now, Trudeau says this will be his last public event as Prime Minister."
2025-03-08T23:48:32.000Z,"This lumberyard owner tells me tariffs on Canadian lumber would hurt his business, and said his customers would pay the higher cost
National Association of Homebuilders says even a 25% tariff on Canadian lumber would raise cost of building single family home by up to $10K  
@ABC"
2025-03-08T23:06:26.000Z,"FAFO : In a post on Truth Social yesterday morning, you’ll recall, President Trump said he believed Justin Trudeau was using the tariff problem to run again for prime minister.

Now, Trudeau says this will be his last public event as Prime Minister."
2025-03-08T23:48:32.000Z,"This lumberyard owner tells me tariffs on Canadian lumber would hurt his business, and said his customers would pay the higher cost
National Association of Homebuilders says even a 25% tariff on Canadian lumber would raise cost of building single family home by up to $10K  
@ABC"
2025-03-08T23:54:36.000Z,This amount of tariff  is perfect!
2025-03-08T23:24:24.000Z,"I don't get all the Mexico/Canada tariff hubbub. They backed the globalists, Biden and Harris - they made a wager and THEY LOST! Did they really think there wouldn't be any blowback?"
2025-03-08T23:30:10.000Z,"Should Canada become the 51st state, now that China's about to tariff them to bankruptcy?

Too many crazy liberals. It would just become another California and New York."
2025-03-08T23:14:39.000Z,CANADA VS USA CRUD: TARIFF EDTION #crud
2025-03-08T22:44:13.000Z,"If the true goal was carbon reduction for the Liberals, why did they put a 100% tariff on Chinese EVs, which were much more affordable, anyway? Do they only want people to drive EVs which are expensive? Obviously the climate is not the first concern."
2025-03-08T23:14:39.000Z,CANADA VS USA CRUD: TARIFF EDTION #crud
2025-03-08T22:44:13.000Z,"If the true goal was carbon reduction for the Liberals, why did they put a 100% tariff on Chinese EVs, which were much more affordable, anyway? Do they only want people to drive EVs which are expensive? Obviously the climate is not the first concern."
2025-03-08T22:57:19.000Z,"I demand they tariff 
Ne Zha 2 (Mandarin w/Chinese and e.s.t.)
200%%%%%"
2025-03-08T23:03:56.000Z,"What *could* help us lift our economy in the midst of the tariff crisis is assisting baristas & other café workers in improving their wages & working conditions by forming unions, and only buying espresso-based drinks at unionized cafés or those paying a living wage.

#canlab #1u"
2025-03-08T23:41:43.000Z,"Trump: Canada  charges 250% tariff for dairy, ripping us of 10s of billions.
Reporter: That applies only for dairy above TQR.
Trump: TQR?
Reporter: Tariff Quota Rate .
Trump: That's why I signed the deal.
#tariffs #comedian
#CanadaUSTradeWar"
2025-03-08T23:24:58.000Z,"President Trump has delayed imposing 25% tariffs on goods from Canada and Mexico, a decision made after market drops and pushback from U.S. automakers. This follows a chaotic rollout of his tariff policies, causing uncertainty in corporate America. 

Your Thoughts on Tariffs?"
2025-03-08T23:34:23.000Z,"trump should be removed from office, unfit ,use 25th Amend .tariff war will lead to a depression , recession trump tariff war is illegal ,congress has power over tariffs but if PRES declares national security Dis.  he does , no disaster, trump lies about tariffs of Can, Mex."
2025-03-08T23:58:18.000Z,#Trump #Tariff Mania
2025-03-08T23:34:23.000Z,"trump should be removed from office, unfit ,use 25th Amend .tariff war will lead to a depression , recession trump tariff war is illegal ,congress has power over tariffs but if PRES declares national security Dis.  he does , no disaster, trump lies about tariffs of Can, Mex."
2025-03-08T23:58:18.000Z,#Trump #Tariff Mania
2025-03-08T23:54:55.000Z,"Imagine them hating Canada because we have the nerve to tariff them BACK.
#ElbowsUpCanada"
2025-03-08T23:41:22.000Z,"Thanks Ben. Perhaps Trump will revisit Tariff issue and pledge to hold pending an election. When a new common sense govt. will be elected. Then sit down to discuss future otosperity. Drill, baby, drill.
@potus"
2025-03-08T23:06:05.000Z,"There's a main plot, and then there's subplots. 

China and Canada in tariff war

Reminds me of the movie scene where everyone is throwing cake at everyone's face, and no one recalls who started it "
2025-03-08T23:41:06.000Z,Tariff exhaustion!
2025-03-08T23:41:22.000Z,"Thanks Ben. Perhaps Trump will revisit Tariff issue and pledge to hold pending an election. When a new common sense govt. will be elected. Then sit down to discuss future otosperity. Drill, baby, drill.
@potus"
2025-03-08T23:06:05.000Z,"There's a main plot, and then there's subplots. 

China and Canada in tariff war

Reminds me of the movie scene where everyone is throwing cake at everyone's face, and no one recalls who started it "
2025-03-08T23:41:06.000Z,Tariff exhaustion!
2025-03-08T23:06:01.000Z,"I’m not siding with 47 over Canada but what can’t be ignored by anyone is the impact his tariff rhetoric is having on Canada, whether intentional or not. 
Does anyone believe our govt would have made this investment had it not been for Trump’s economic threats?"
2025-03-08T23:14:36.000Z,"FYI, these are called TRQ’s ( tariff rate quotas) and all 3 countries involved in the usmca agreement have them. It’s designed to protect farmers from total obliteration or market hardship from another country oversaturating the market. Please stop spreading propaganda bullshit."
2025-03-08T22:57:50.000Z,Tonight on MSNBC: 'We don't accept this': Canadian Ambassador explains why Trump's tariff fight is pointless
2025-03-08T23:14:36.000Z,"FYI, these are called TRQ’s ( tariff rate quotas) and all 3 countries involved in the usmca agreement have them. It’s designed to protect farmers from total obliteration or market hardship from another country oversaturating the market. Please stop spreading propaganda bullshit."
2025-03-08T22:57:50.000Z,Tonight on MSNBC: 'We don't accept this': Canadian Ambassador explains why Trump's tariff fight is pointless
2025-03-08T23:16:59.000Z,"how does putting a 25% tariff on coffee and bananas help with reindustrialization, pray tell?"
