Timestamp,Tweet Content
2025-04-13T23:39:05.000Z,若干年后，提起川建国，人们会说他是灯塔国历史上最成功的炒股总统。#关税战 #贸易战 #tariff
2025-04-13T23:31:20.000Z,"WILL $TSLA MAKE YOU A MILLIONAIRE? Yahoo says ""Maybe."" The new Megapactory in Texas is moving fast. Markets are up in the pre-market as the tariff issue still has the most impact on investors."
2025-04-13T23:35:13.000Z,"""Americans, you don't need a tariff; you need a revolution.""

""They robbed you blind, and you thanked them for it; that's a tragedy.""

In the process of shipping your jobs overseas, the ruling class has hollowed out the middle class, crashed the working class, and told you to be"
2025-04-13T23:46:27.000Z," Trump admin sets temporary tariff relief for smartphones & laptops, but semiconductor levies loom in months. No trade exemptions—China faces accountability

Commerce Secretary Howard Lutnick clarified that the Trump administration’s Friday exemption of smartphones, iPhones,"
2025-04-13T23:36:33.000Z,"MAGA, what will it take for you to realize that Trump cares nothing about you? An unnecessary tariff war? No. 
Insider trading and market manipulation? No. 
Trump's broken promise of lowering the price on essentials? No. 
Trump manipulated you, and now you are paying the cost."
2025-04-13T23:59:21.000Z,Regardless of whether or not you’re happy Rory won The Masters it wasn’t great golf hate to break it to you.
2025-04-13T23:47:50.000Z," Trump's tariff pause on electronics is temporary—semiconductor tariffs hit in months to reshore chip production

Commerce Secretary Howard Lutnick announced Sunday that Friday’s tariff exemption for electronics is temporary, with “semiconductor tariffs” hitting these devices"
2025-04-13T23:54:00.000Z,When it’s January 2029 and we no longer have a different tariff headline every day
2025-04-13T23:52:58.000Z,fuck tariff confusion. normalize metal matinees that take place across from a self storage facility. fueled by dirty tap lines and dirtier toilets. gummo playing on the crtv.
2025-04-13T23:43:22.000Z,"In China’s Yiwu, which is known as the ""world supermarket"", Yiwu merchant: US orders paused, but sales steady. Factory prices unchanged; tariff hikes to cost US consumers more."
2025-04-13T23:39:43.000Z,"Cobbler & high-tech jobs are worlds apart from each other. So your answer is NO shoe manufacturing is not coming back to America despite Trump's tariff taxes on the American people. So we're paying his tariff taxes for NOTHING.
So drop the d... tariff taxes. 
Insanity in America."
2025-04-13T23:58:40.000Z,"NOBODY is getting “off the hook” for the unfair Trade Balances, and Non Monetary Tariff Barriers, that other Countries have used against us, especially not China which, by far, treats us the worst! There was no Tariff “exception” announced on Friday. These products are subject to"
2025-04-13T23:53:53.000Z,When the French decide to tariff the fries and we start making them like this: https://x.com/SouthDallasFood/status/1910896964385845355/video/1…
2025-04-13T23:54:19.000Z,"Trump pushes back on media reports, saying 'there was no tariff exception announced on Friday', calling it a misread of policy. He adds that affected items are simply 'moving to a different tariff bucket' and will fall under 'existing 20% fentanyl tariffs.'

White House’s April"
2025-04-13T23:48:27.000Z,Summary of Tariff News This Weekend
2025-04-13T23:47:00.000Z,"The new tariff exceptions align with Trump's goals of reducing trade deficits and protecting U.S. jobs by targeting imports while sparing critical goods like semiconductors. They seem like negotiation tactics to secure better trade terms, not to achieve zero tariffs for free"
2025-04-13T23:35:59.000Z,"Yanis Varoufakis analyses Donald Trump's tariff war https://youtu.be/eqnBPwdTbsc?si=P_ux_3N1QxBTmT3l… via 
@YouTube
 Modus Operandi of the Fascist!"
2025-04-13T23:44:10.000Z,"BREAKING - WAR: China has suspended exports of key rare earth minerals and magnets—vital to industries like automotive, aerospace, semiconductors, and defense—in retaliation for President Trump’s April 2 tariff hike. As of April 4, exports of six heavy rare earth metals and"
2025-04-13T23:49:45.000Z,"Trump probably never expected that the 10 - day tariff war between China and the United States has helped China establish its status as a ""superpower"" in front of more than 190 countries around the world.
 
The 10 - day confrontation has come to an end. Now, both the traditional"
2025-04-13T23:46:45.000Z,"Masters weekend thoughts -  can we ask  Rory to play  with Trump and let him win - and he backs off the F from Tariff , markets are saved? 

 #tariffs #masters"
2025-04-13T23:41:02.000Z,"Tariff Pe Tariff
Tariff Pe Tariff
Tariff Pe Tariff"
2025-04-13T23:45:35.000Z,"I ran all the comments from my recent 3D Printing tariff video through AI, where I highlighted 5 companies manufacturing here in the US.

I asked AI to summarize comments (no replies) for sentiment and to skip all racist, hateful and personal attacks:

The comment section reveals"
2025-04-13T23:28:54.000Z,"If any product deserved a 125% tariff, it's Nike. https://x.com/1Nicdar/status/1Nicdar/status/1911481394422829152…"
2025-04-13T23:46:44.000Z,"BREAKING NEWS: President Donald Trump set to enforce a 60% reciprocal tariff on the country of Schrade, despite its only resident being a single dragon..."
2025-04-13T23:57:34.000Z," Breaking News 

Gold retreats from its all-time high of $3,245, now trading lower as traders take profits amid easing safe-haven demand. 

Volatility continues as markets digest tariff pauses and shifting global sentiment."
2025-04-13T23:34:50.000Z,"Trump vows nobody getting 'off the hook' for 'unfair' trade balances, says there was no tariff 'exception'"
2025-04-13T23:51:48.000Z,"My favorite thing about the Trump tariff switcheroo is that half of his seemingly intelligent supporters are convinced it's a Masterclass in adapting, and the other half are convinced that this was pre-planned and indicative that he's playing 3D chess."
2025-04-13T23:39:35.000Z,"The Trump administration has exempted a raft of consumer electronics from its punishing import tariffs, offering relief to US tech firms and partially dialling down a trade war with China."
2025-04-13T23:53:19.000Z,untuk deal dealan tariff trump lahhh
2025-04-13T23:55:54.000Z,"U.S. Tariffs: ASEAN Establishes Task Force: In an urgent response to the United States’ sweeping tariff overhaul, the Association of Southeast Asian Nations (ASEAN) convened a special meeting of its economic ministers on April 10, and announced the creation of a dedicated task"
2025-04-13T23:44:37.000Z,⁠El Secretario de Comercio Lutnick da marcha atrás en la desgravación arancelaria a la electrónica
2025-04-13T23:54:22.000Z,the way they're adding it as a tariff tax instead of changing the price is kind of hilarious and cunty
2025-04-13T23:45:16.000Z,Tariff this tariff that...Tariff karu kya uski jisne tujhe banaya
2025-04-13T23:50:44.000Z,"Based on my work, the average effective tariff rate is tracking this equation closely!"
2025-04-13T23:59:15.000Z,"Trump’s tariff blitz now exempting electrical goods like phones, laptops. https://foxbusiness.com/fox-news-global-economy/trumps-tariff-blitz-now-exempting-electrical-goods-like-phones-laptops… #FoxBusiness"
2025-04-13T23:56:12.000Z,"So Trumpo is trying to backtrack and bullshit and say the electronics aren't ""exempt"" but moved to a different tariff schedule (that's currently at 25%). But make no mistake about it, they were at 125% and now at 25%. That's a CAVE for now, period."
2025-04-13T23:49:19.000Z,"Trump: No tariff exceptions for tech, plans security probe of electronics chain

U.S. President Donald Trump said via his Truth Social account that ""there was no Tariff 'exception' announced on Friday."" He added that ""these products are subject to the existing 20% Fentanyl"
2025-04-13T23:54:10.000Z,"1/2 Just bc you tariff tax the American people to death doesn't mean you will bring pharmaceutical manufacturing back to the US. 
There are other more effective ways of bring manufacturing  back, but it would require work &  Trump is  just too lazy to do the"
2025-04-13T23:25:47.000Z,"The only thing less predictable than Rory McIlroy today has been Donald Trump's tariff policy...

Who says golf is boring!

#TheMasters"
2025-04-13T23:41:05.000Z,"I’m happy to buy American-made products whenever I can unfortunately past administrations have a loud shit to be built in China. I could care less about their fucking economy and hopefully with this tariff, we will bring their asses down to a working level oh, and if you want to"
2025-04-13T23:56:11.000Z,"Semiconductors from China will face a ‘special-focus type of tariff’: Lu... https://youtu.be/cYGb2Sgy_Vk?si=pV46BtpFNcfhD11R… via 
@YouTube"
2025-04-13T23:34:59.000Z,"GOLDMAN SACHS: Global Economics Comment: Will Tariffs Increase US Employment? Evidence from Academic Studies 

Tariff math doesn't add up: While protecting manufacturing jobs (+100k), the broader job impact is negative (-500k)."
2025-04-13T23:54:11.000Z,"HOW FALSE X POSTS FUELED THE STOCK MARKET BUMP

Stated on April 7, 2025 in posts on X:

Says Kevin Hassett, National Economic Council director, said on April 7, “TrXmp is considering a 90-day pause in tariffs for all countries except China.”"
2025-04-13T23:33:31.000Z,Man fuck all this tariff bs I just want a switch 2
2025-04-13T23:46:32.000Z,"Not just tariff, China protects most industries they make our companies give them all info on their products,  they steel  property ."
2025-04-13T23:56:27.000Z,"Big, Beautiful Tax Cuts Should Offset Any Tariff Increases – HotAir"
2025-04-13T23:46:40.000Z,"Comedian Theo Von Backs Trump’s Tariff Plan: ‘If We Don’t Try This, I Think It’s a Wrap’"
2025-04-13T23:41:20.000Z,"So far we had the market going higher after Trump won.
Then Trump took over and we had the Tariff bluff and the Trump short.
Trump short was worth 11 Trillion.
Then we had Trump's approval rating plunge.
Then Tariffs are off and biggest gain on market history.
One day 13% gain."
2025-04-13T23:53:06.000Z,"HE DID IT: The next #tariffs capriole in the #TariffWar!
#President Donald Trump‘s Commerce Secretary Howard #Lutnick announced:
No permanent exemptions from #tariff exemptions.

Insane #Trump doesn't want to let especially #China „off the hook“.
#TrumpTariffs are in full swing."
2025-04-13T23:28:50.000Z,"$TSLA will see a net loss in 2025 unless Trump removes the 145% China tariff. The US Megapack biz (15% of 2024 profits) imports all of its LFP cells from China. 

These cells are ~33% of Megapack mfg costs. If they rise by 145%, Tesla generates gross losses from Q3 2025."
2025-04-13T23:40:23.000Z,"Prepare for another week of 'Tariff Tussles'...

as those holding weak hands continue to raise as they
bluff..."
2025-04-13T23:43:40.000Z,"Hey 
@grok
 What changed due to PNTR and China entering the WTO in 2000? Were there products that had different tariff or trade treatment after that?"
